,,DASE_C,,,,DASE_O,,,,AD_S,,,,POET_S,,,,NREL_S,,,,AD_N,,,,POET_N,,,,NREL_N,,,,CS_N,,,,GWC16,,,,GWC20,,,
,days,1P,2PS,2PP,3PP,1P.1,2PS.1,2PP.1,3PP.1,1P.2,2PS.2,2PP.2,3PP.2,1P.3,2PS.3,2PP.3,3PP.3,1P.4,2PS.4,2PP.4,3PP.4,1P.5,2PS.5,2PP.5,3PP.5,1P.6,2PS.6,2PP.6,3PP.6,1P.7,2PS.7,2PP.7,3PP.7,1P.8,2PS.8,2PP.8,3PP.8,1P.9,2PS.9,2PP.9,3PP.9,1P.10,2PS.10,2PP.10,3PP
20,1388,1029.938553,842.8982983,284.5235098,2724.908435,1019.000173,830.4147922,285.8800222,516.4311932,1116.473016,850.6855341,268.5788506,2025.404389,784.6160236,555.442534,94.51067654,188.8957662,1155.375141,1146.09783,211.3293684,2955.731472,764.4652529,560.7613815,163.0227267,1457.740977,506.9683949,411.9530654,61.78651062,157.5188263,791.9408208,780.9420663,138.2302837,1591.074398,834.0242647,1283.796079,375.4028009,515.3627739,312.266805,265.7100492,56.79558422,83.06330575,309.9604446,257.2553666,62.86304433,134.7311281
21,1461,1046.51353,860.540132,284.5243521,2724.908435,1036.096973,847.6674756,285.8808576,516.4352905,1127.657284,869.9451677,268.5793311,2025.404568,807.3623698,573.7809483,94.51141478,188.8957688,1169.778215,1168.092075,211.3301269,2955.731472,775.5030131,574.3885101,163.0233409,1457.740979,523.3207488,425.7531528,61.78714434,157.5194038,803.7934636,796.5587093,138.2308269,1591.074416,840.7274712,1291.217394,375.4408551,516.0654817,322.3971916,275.1026113,56.7959263,83.13744919,319.9886471,266.4322415,62.86442911,135.6415983
22,1534,1061.46558,877.7081585,284.5251944,2724.908435,1051.569777,864.479143,285.8816931,516.4378261,1137.39411,888.5079374,268.5798115,2025.404747,828.8888867,591.646817,94.51215301,188.8957701,1182.52108,1188.703994,211.3308854,2955.731472,785.3773496,587.5861807,163.0239551,1457.74098,538.9405475,439.1739452,61.78777806,157.5197287,814.4259442,811.1385754,138.23137,1591.074425,846.4715092,1297.630961,375.4659753,516.6016421,332.0786661,284.1764557,56.79617082,83.19287227,329.5701644,275.3068676,62.8652965,136.4147586
23,1607,1074.953612,894.4151028,284.5260367,2724.908435,1065.572846,880.8610681,285.8825285,516.4393946,1145.87082,906.3990581,268.580292,2025.404925,849.2609907,609.052312,94.51289125,188.8957708,1193.795106,1208.020477,211.3316439,2955.731472,794.210892,600.3679282,163.0245693,1457.740982,553.8606083,452.2258678,61.78841178,157.5199112,823.9638713,824.7504961,138.2319132,1591.074429,851.3936268,1303.173624,375.4826895,517.0107285,341.3311212,292.9423988,56.79636269,83.23430538,338.724893,283.8892025,62.86585669,137.0713249
24,1680,1087.120973,910.6733483,284.526879,2724.908436,1078.245788,896.8242358,285.8833639,516.4403649,1153.250495,923.6428324,268.5807725,2025.405104,868.5405901,626.0092986,94.51362948,188.8957714,1203.769602,1226.122948,211.3324024,2955.731472,802.113344,612.7468597,163.0251835,1457.740984,568.112278,464.9190588,61.7890455,157.5200138,832.5199231,837.4587302,138.2324564,1591.074431,855.6114337,1307.96365,375.4939362,517.32286,350.1735683,301.4108894,56.79652612,83.26528527,347.4718435,292.1888878,62.86623445,137.6288649
25,1753,1098.096975,926.4949457,284.5277213,2724.908436,1089.714948,912.3793506,285.8841994,516.4409651,1159.67511,940.2626829,268.5812529,2025.405283,886.7862731,642.5293346,94.51436772,188.8957718,1212.594362,1243.0877,211.3331608,2955.731472,809.1828463,624.7356704,163.0257977,1457.740986,581.7254994,477.2633779,61.78967921,157.5200717,840.195178,849.323273,138.2329995,1591.074432,859.2257104,1312.103235,375.501627,517.5610154,358.6241763,309.5920207,56.79667418,83.28845329,355.8291794,300.2152171,62.86650391,138.1023282
26,1826,1107.998271,941.8916218,284.5285636,2724.908436,1100.094673,927.5368434,285.8850348,516.4413362,1165.268267,956.2811845,268.5817334,2025.405462,904.0534861,658.6236793,94.51510595,188.8957722,1220.401913,1258.986239,211.3339193,2955.731472,815.507195,636.346655,163.0264119,1457.740988,594.7288737,489.2684142,61.79031293,157.5201044,847.0803091,860.4001367,138.2335427,1591.074432,862.3228166,1315.6807,375.5070053,517.7427278,366.7003088,317.4955435,56.79681407,83.30578424,363.8142552,307.977199,62.86670905,138.5043964
27,1899,1116.930088,956.8747889,284.5294059,2724.908436,1109.488445,942.3068781,285.8858703,516.4415657,1170.137571,971.7200956,268.5822138,2025.40564,920.3947018,674.3033021,94.51584419,188.8957725,1227.309506,1273.885575,211.3346778,2955.731472,821.1649323,647.5917207,163.0270261,1457.74099,607.149721,500.9434927,61.79094665,157.5201227,853.256655,870.7416151,138.2340858,1591.074432,864.9767547,1318.772375,375.5108796,517.881374,374.4185602,325.1308778,56.79694953,83.31875134,371.4436527,315.4835426,62.86687601,138.845831
28,1972,1124.987353,971.4555528,284.5302482,2724.908437,1117.989919,956.6993591,285.8867057,516.4417076,1174.376701,986.6003873,268.5826943,2025.405819,935.8595794,689.5788898,94.51658242,188.8957729,1233.420878,1287.848506,211.3354363,2955.731472,826.2263218,658.4823992,163.0276403,1457.740992,619.0141375,512.2976823,61.79158037,157.5201329,858.7971813,880.3965295,138.234629,1591.074432,867.2509381,1321.444227,375.5137759,517.9871609,381.7947895,332.5071239,56.79708255,83.32845714,378.7332146,322.7426632,62.86702028,139.1357735
29,2045,1132.255697,985.6447207,284.5310904,2724.908437,1125.683852,970.7239374,285.8875412,516.4417952,1178.067213,1000.942272,268.5831747,2025.405998,950.4951144,704.4608535,94.51732065,188.8957733,1238.827806,1300.933884,211.3361948,2955.731472,830.7542207,669.0298592,163.0282545,1457.740994,630.3470501,523.3398026,61.79221408,157.5201388,863.7673418,889.4104604,138.2351721,1591.074432,869.1997063,1323.753267,375.516036,518.0678763,388.8441527,339.6330735,56.79721423,83.3357281,385.6980782,329.7627036,62.86715109,139.3819904
