"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"15",1023,919.051712425724,43760.56289212,43760.2566802599,905.685680094359,43804.3885905236,43844.7553590068,1033.61069674086,43699.4184677375,43695.3626923115,654.782270254636,44972.536034594,44981.019754469,1055.21378545216,49074.425561607,49087.4169544994,689.168652213873,21766.3565865197,21779.7254037947,416.442299745258,23151.6136489894,23164.1537412945,713.361716598912,24600.8999980517,24611.6929399363,784.751585809991,23594.215078884,23606.725843869,256.743427565958,257.163634492373,257.165577076546,254.835468835617,NA,NA
"16",1096,946.689782837551,43773.2063432226,43772.8998068822,933.749277294351,43817.0234590259,43857.3899096783,1055.73569209177,43712.057712887,43707.9987488059,684.811338583111,44985.1547351564,44993.6354272007,1081.49882997982,49087.0513104989,49100.0396594478,708.317157426863,21779.0132461605,21792.3787999682,437.086827241086,23164.2520541245,23176.7890902149,733.587815906914,24613.5282224504,24624.3181489696,798.818792749866,23606.8595403319,23619.3673240023,269.512590100785,269.942571944161,269.944543309915,267.487560496986,NA,NA
"17",1169,971.601400985699,43785.2802527319,43784.9734028969,959.127714379706,43829.0891732473,43869.4553175703,1074.96898109336,43724.1275091729,43720.0655920991,713.21267429256,44997.204911246,45005.6829628043,1104.71475484296,49099.108304438,49112.0937384268,725.42880506648,21791.0997361253,21804.4623603967,456.795788325793,23176.320634907,23188.8553940014,751.702080211697,24625.5875965584,24636.3745896733,810.827229436355,23618.9343715454,23631.4394852917,281.707892353745,282.14591312901,282.147912560314,279.568486278222,NA,NA
"18",1242,994.055527216057,43796.8103704667,43796.5032225073,982.077911016621,43840.6114645323,43880.9773172775,1091.68850660291,43735.6536512035,43731.5889635058,740.074509101594,45008.712314635,45017.1877295308,1125.21992280245,49110.6222553706,49123.6049232277,740.720259984619,21802.6418380544,21816.0015954563,475.611580870382,23187.8459881156,23200.3781301099,767.925010223839,24637.1038396511,24647.888002621,821.078226312703,23630.4653256648,23642.9678122266,293.355124214107,293.799585662964,293.801611146543,291.10403085918,NA,NA
"19",1315,1014.29458924017,43807.8211491479,43807.5137159083,1002.83220427248,43851.6147693866,43891.9803432308,1106.22281403395,43746.6605880449,43742.5932989732,765.480292010237,45019.7013587292,45028.1742405569,1143.33084970756,49121.6175762509,49134.5976182858,754.385138954028,21813.6641048222,21827.0211222864,493.574681454889,23198.852207569,23211.3818268896,782.454082676333,24648.1013702083,24658.8828829182,829.828971381296,23641.4768527308,23653.9768487125,304.47891660346,304.92834765657,304.930397659369,302.118814955413,NA,NA
"20",1388,1032.53709967588,43818.3359764418,43818.0282709555,1021.60070092626,43862.1224594757,43902.4877671341,1118.85750621917,43757.1718246473,43753.1019734993,789.508948644699,45030.1955061608,45038.6658847705,1159.32709364121,49132.11764321,49145.0951788087,766.59646343121,21824.1899103216,21837.5443448639,510.723732258629,23209.3627230289,23221.889884964,795.466155509403,24658.6035410519,24669.3825202698,837.29901141938,23651.9924793299,23664.4900056937,315.102793471813,315.555842176524,315.557915468215,312.636347773209,NA,NA
"21",1461,1048.98001518615,43828.3771919183,43828.0692263726,1038.57340447447,43872.1568592486,43912.5219126586,1129.84086145126,43767.2096347454,43763.1373132394,812.235126438103,45040.2169978073,45048.6849607321,1173.45557020776,49142.1448096187,49155.1199056575,777.508850256588,21834.2415944164,21847.5935610049,527.095624248608,23219.3998338582,23231.9246349042,807.119620637543,24668.6326674683,24679.4092165119,843.675783185672,23662.03447867,23674.5296249283,325.24922154588,325.704647392907,325.706742954342,322.679077188617,NA,NA
"22",1534,1063.80086297302,43837.9661252433,43837.6579113671,1053.92213862784,43881.7392838632,43922.1040944882,1139.38870744248,43776.7953023575,43772.7206355063,833.729426561952,45049.7870819965,45058.2527499441,1185.9343658096,49151.7203323585,49164.6930930635,787.260469457106,21843.8405228941,21857.1901271203,542.725576613356,23228.9848375441,23241.5073922498,817.556332084171,24678.2100564519,24688.9842844358,849.119295671933,23671.6241468765,23684.1170322329,334.939657892391,335.396324707565,335.398441531535,332.26843771106,NA,NA
"23",1607,1077.15965746508,43847.1231479668,43846.814696935,1067.80228680024,43890.890091048,43931.2546698158,1147.6886640568,43785.9492001215,43781.8722998942,854.058623228639,45058.9260982889,45067.3895819463,1196.95610209291,49160.8645397743,49173.8350790799,795.974793699909,21853.0070913015,21866.3544396713,557.647212504703,23238.1381059166,23250.6585180222,826.903332710935,24687.3560547193,24698.12806698,853.766133939276,23680.7818649815,23693.2725985438,344.194595291389,344.651464362572,344.653601450632,341.424896228409,NA,NA
"24",1680,1089.20062791692,43855.8677145562,43855.5590370582,1080.35436512575,43899.6287220614,43939.993079421,1154.90382832423,43794.6907828857,43790.6117495109,873.285871136046,45067.653469888,45076.1148680568,1206.69090972185,49169.596867325,49182.5652862898,803.762161667409,21861.7607733311,21875.1059683546,571.892631333614,23246.8790879365,23259.3974541898,835.274400661408,24696.0900934354,24706.8599892222,857.732893780916,23689.5270959881,23702.0157752187,353.033605550846,353.489729124318,353.491885521457,350.167995667557,NA,NA
"25",1753,1100.05377539602,43864.2184039139,43863.9095101518,1091.70544484184,43907.973743196,43948.3378891213,1161.17598088787,43803.0386232515,43798.9575523791,891.470901655263,45075.9877391761,45084.4471452617,1215.2890538985,49177.935868757,49190.9022630513,810.72117514668,21870.1201667838,21883.4633047798,585.492477828031,23255.2263532589,23267.7427666197,842.771434355616,24704.4307291463,24715.1986032264,861.119106705193,23697.8784203231,23710.3651371522,361.47538089569,361.929896069598,361.932070886735,358.516396705355,NA,NA
"26",1826,1109.83627685306,43872.1929572201,43871.8838569336,1101.97043901,43915.9428835902,43956.3068276036,1166.62837203167,43811.0104541847,43806.9274392941,908.670208422904,45083.9466103181,45092.4041155864,1222.88325457993,49185.8992595264,49198.8637213992,816.939947497608,21878.1030322451,21891.4442054471,598.476007963485,23263.1976359175,23275.7121850325,849.485692863981,24712.3956816651,24723.1616253231,864.009737359406,23705.8535782733,23718.3384226684,369.537773502546,369.989896513222,369.992088920136,366.487917602258,NA,NA
"27",1899,1118.65374990168,43879.8083164563,43879.4990189478,1111.25326572029,43923.5530737258,43963.9168249218,1171.36814340523,43818.6232134305,43814.538342325,924.937222821158,45091.5469935156,45100.002683812,1229.59073503184,49193.5039584855,49206.4665755066,822.497219324671,21885.7263293782,21899.0656265097,610.871151898341,23270.8098719761,23283.3226406517,855.498906777048,24720.0018725572,24730.7659728107,866.477315723514,23713.4695146778,23725.952571207,377.237833252388,377.686854119798,377.689063321793,374.099572232297,NA,NA
"28",1972,1126.60139317352,43887.080660631,43886.7711747838,1119.64790005406,43930.8204816292,43971.1840486929,1175.48843339921,43825.8930751225,43821.8064310132,940.32247997307,45098.8050366072,45107.2589933189,1235.5150312018,49200.7661227974,49213.7269778156,827.463355471406,21893.0062539208,21906.3437595102,622.704574055062,23278.0792338388,23290.5903021142,860.884273086633,24727.2654613531,24738.0278012392,868.583756729347,23720.7424104215,23733.2237592505,384.5918437858,385.037121272019,385.039346497152,381.367606395479,NA,NA
"29",2045,1133.76501398312,43894.0254400385,43893.7157743361,1127.23932536359,43937.7605471075,43978.1239383329,1179.07020734976,43832.8354838895,43828.7471466123,954.873775732808,45105.7361591134,45114.1884602961,1240.74758988925,49207.701180985,49220.6603532497,831.901235962979,21899.9582722396,21913.2940669825,634.00173048068,23285.0211652647,23297.5306097258,865.707346189878,24734.2018797473,24744.9625385388,870.38191389074,23727.6877165788,23740.167434597,391.615356938464,392.056313790447,392.05855429784,388.307532491511,NA,NA
"30",2118,1140.22195488491,43900.6574090246,43900.3475715679,1134.10439366003,43944.3880144917,43984.7512377988,1182.18384853757,43839.4651889924,43835.375234834,968.636315168836,45112.3550863173,45120.8058065331,1245.36918030815,49214.3238666094,49227.2814319257,835.867052178168,21906.5971540573,21919.9313150187,644.786923606798,23291.6504145284,23304.1583083078,870.026835862831,24740.8258643208,24751.5849177448,871.916905462542,23734.3201885662,23746.7983492225,398.323225628864,398.759344109581,398.761599197482,394.934162627982,NA,NA
"31",2191,1146.04192873481,43906.9906573372,43906.6806558625,1140.31260368038,43950.716963966,43991.0800269182,1184.89054124932,43845.7962753946,43841.7047771815,981.65285299832,45118.6758802841,45127.1250907341,1249.45114083181,49220.6482497047,49233.6042804549,839.411018331045,21912.9370038282,21926.269604625,655.083354529947,23297.9810656363,23310.487478558,873.895321916295,24747.1514878582,24757.9090082373,873.227246498084,23740.6539172258,23753.1305906575,404.729635268638,405.16045297071,405.162721973882,401.261640234603,NA,NA
"32",2264,1151.28777132937,43913.0386401028,43912.7284819978,1145.92680444166,43956.7608415238,43997.1237513439,1187.24347307218,43851.8421936606,43847.7492209081,993.963826409577,45124.7119697121,45133.1597383736,1253.05648016448,49226.6877665914,49239.6423318698,842.578007271336,21918.9912907124,21932.3224016277,664.913172922192,23304.0265682072,23316.5315669541,877.359894233608,24753.1921892878,24763.9482456761,874.345815266713,23746.7023587349,23759.1776119045,410.848133761478,411.273239681395,411.275521964303,407.303470250395,NA,NA
"33",2337,1156.01611981282,43918.8142064105,43918.5038987302,1151.00383148884,43962.5324875327,44002.8952511182,1189.28888005129,43857.6157884723,43853.5214075841,1005.60748068369,45130.4761784016,45138.922570206,1256.2408499369,49232.4552483628,49245.4084141601,845.408118653689,21924.772877188,21938.1025653233,674.297524679193,23309.7997660385,23322.3034143074,880.462725981226,24758.9608022295,24769.7154605656,875.30067820395,23752.4783631365,23764.9522600056,416.69166015331,417.110691003854,417.112985957446,413.072547947573,NA,NA
