"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"88",6352,1199.07629434886,1198.79867268126,1202.88713757505,1199.2935813387,1280.30253852195,869.134957900332,856.566425901623,907.01546781494,880.869275259659,530.972514758938,525.479542488913
"89",6425,1199.09038029096,1198.81685359148,1202.8879398476,1199.80728915668,1280.30558189281,869.140164983093,857.265456492806,907.021921972635,880.869410632434,531.417518381824,525.913680668804
"90",6498,1199.10307667706,1198.83329492959,1202.88863726439,1200.29315132458,1280.30826991113,869.144818180331,857.93280849208,907.027702243204,880.869526193038,531.842523048873,526.328220118698
"91",6571,1199.11452058465,1198.84816314001,1202.88924352988,1200.75267722223,1280.3106440689,869.148976409714,858.56991750641,907.032878988091,880.869624841036,532.248427535319,526.724045603482
"92",6644,1199.12483556879,1198.86160874156,1202.88977055743,1201.18729441322,1280.31274101345,869.152692321745,859.178154084081,907.03751522221,880.869709051593,532.636090224439,527.102001946225
"93",6717,1199.13413299598,1198.87376785123,1202.89022870329,1201.5983530797,1280.314593113,869.156012966413,859.758826663022,907.041667381004,880.869780937545,533.006330922814,527.46289583131
"94",6790,1199.14251324662,1198.88476356215,1202.8906269702,1201.98713021688,1280.31622895632,869.158980388923,860.313184385512,907.045386007417,880.869842302608,533.359932594011,527.807497526169
"95",6863,1199.15006679874,1198.89470718977,1202.89097318425,1202.35483360019,1280.3176737941,869.161632162068,860.842419785341,907.048716367137,880.869894686599,533.697643014346,528.136542525288
"96",6936,1199.15687520483,1198.90369939873,1202.89127414867,1202.70260553727,1280.31894992864,869.164001861961,861.347671353179,907.051698999597,880.869939403925,534.020176354239,528.450733119995
"97",7009,1199.16301197238,1198.91183122195,1202.8915357775,1203.03152641674,1280.32007705822,869.166119493178,861.830025985704,907.054370211463,880.869977576645,534.328214688499,528.750739897387
"98",7082,1199.16854335748,1198.9191849822,1202.89176321185,1203.34261806451,1280.32107258105,869.168011868655,862.290521323725,907.056762518574,880.870010162597,534.62240943874,529.037203171582
"99",7155,1199.17352908014,1198.92583512552,1202.89196092088,1203.63684691817,1280.32195186391,869.169702949218,862.730147984362,907.058905041761,880.870037979434,534.903382750963,529.310734350364
"100",7228,1199.17802296912,1198.93184897486,1202.89213278964,1203.91512702933,1280.32272847928,869.171214146963,863.149851692056,907.060823861343,880.870061725111,535.171728811242,529.571917240129
"101",7301,1199.18207354303,1198.93728741161,1202.89228219542,1204.17832290325,1280.32341441492,869.172564596304,863.550535313008,907.062542334508,880.8700819955,535.428015102269,529.821309291922
"102",7374,1199.1857245342,1198.94220549196,1202.89241207394,1204.42725218447,1280.32402025882,869.17377139629,863.933060797431,907.064081379676,880.8700992995,535.672783603435,530.059442791225
"103",7447,1199.18901536084,1198.94665300427,1202.89252497735,1204.6626881969,1280.32455536274,869.174849827126,864.298251033772,907.065459731161,880.870114071353,535.906551936977,530.286825994028
"104",7520,1199.19198155261,1198.95067497307,1202.89262312434,1204.88536234629,1280.32502798644,869.175813543631,864.646891618906,907.066694167194,880.870126681598,536.129814462616,530.503944211616
"105",7593,1199.19465513424,1198.95431211488,1202.89270844352,1205.09596639234,1280.32544542531,869.176674748143,864.979732548119,907.067799714174,880.870137446548,536.343043322998,530.711260846388
"106",7666,1199.19706497125,1198.95760125045,1202.89278261151,1205.29515459777,1280.32581412287,869.17744434502,865.29748982849,907.068789829571,880.870146636252,536.546689442157,530.909218380909
"107",7739,1199.19923708169,1198.96057567746,1202.89284708576,1205.48354576085,1280.32613977029,869.178132078705,865.600847019169,907.069676565747,880.870154481182,536.741183479098,531.098239322313
"108",7812,1199.20119491689,1198.96326550765,1202.89290313324,1205.66172513773,1280.32642739423,869.178746657111,865.890456701845,907.070470716657,880.870161178186,536.926936738539,531.278727104079
"109",7885,1199.20295961479,1198.9656979716,1202.89295185533,1205.83024626062,1280.3266814344,869.179295861875,866.166941884584,907.07118194925,880.870166895288,537.104342040701,531.451066947086
