,days,1P,2PS,2PP,3PP,1P.1,2PS.1,2PP.1,3PP.1,1P.2,2PS.2,2PP.2,3PP.2,1P.3,2PS.3,2PP.3,3PP.3,1P.4,2PS.4,2PP.4,3PP.4,1P.5,2PS.5,2PP.5,3PP.5,1P.6,2PS.6,2PP.6,3PP.6,1P.7,2PS.7,2PP.7,3PP.7,1P.8,2PS.8,2PP.8,3PP.8,1P.9,2PS.9,2PP.9,3PP.9,1P.10,2PS.10,2PP.10,3PP
21,20,33.38252681,101.7520545,107.5560114,97.84686406,32.34151432,99.56703493,105.6269138,97.82238876,44.81826518,121.6057143,121.252323,115.948915,18.11661219,42.68677548,39.77643692,40.88256637,42.24666003,96.17051324,90.53899734,87.76808742,26.12328939,72.52941274,72.94575815,68.36923458,10.8810188,24.29338605,20.50266181,21.99321983,26.6000935,53.63388162,48.50456795,49.41376394,36.49016766,41.85036758,41.74521581,41.73075212,6.674979539,9.176291925,8.823616379,8.97036783,6.638440537,8.706751066,8.36363171,8.56543634
22,21,35.02704188,102.7271504,109.5039274,99.68598495,33.9354918,100.4687779,107.4561781,98.72903943,47.0148174,123.9302561,124.4853833,118.8120837,19.01528118,43.6330147,41.18643731,41.79906997,44.32201178,97.78271269,93.69766999,89.87497712,27.40864496,73.78039661,74.83730589,69.99312837,11.42149141,24.80100754,21.3205154,22.51015969,27.90942892,54.70978164,50.40188154,50.72599427,38.27446475,43.52884611,43.70609536,43.64940115,7.006557628,9.558558218,9.226867143,9.37020591,6.968192146,9.086001644,8.751277145,8.94165388
23,22,36.66923722,103.6170775,111.2923436,101.4409899,35.52729144,101.2911791,109.1299999,99.57288489,49.20720335,126.0939219,127.5450734,121.559806,19.91327187,44.52987315,42.5530987,42.68844862,46.39388469,99.3164502,96.75503284,91.94936941,28.69204083,74.94052829,76.62337902,71.55585232,11.9616248,25.28665738,22.12151101,23.02117734,29.21681726,55.74671628,52.25684463,52.02383026,40.05499135,45.20397239,45.6554524,45.55470042,7.337929905,9.935473048,9.626725375,9.766015524,7.297737994,9.460992129,9.136164391,9.314008602
24,23,38.30911609,104.4345766,112.9343202,103.1157259,37.11691622,102.0464672,110.6615879,100.3641492,51.39543093,128.1111312,130.4406901,124.1967369,20.81058479,45.38191252,43.87775321,43.55364415,48.46228459,100.7823961,99.71433528,93.99176554,29.97347999,76.01889236,78.30985894,73.05971055,12.50141917,25.75292082,22.90599613,23.52679488,30.52226141,56.74999559,54.07040253,53.3074297,41.83175542,46.8757531,47.59335464,47.44693846,7.669096499,10.30724322,10.02321962,10.15786923,7.627078208,9.831845624,9.518313073,9.682619813
25,24,39.94668177,105.1904792,114.4418482,104.7138645,38.70436911,102.7449825,112.0630287,101.111296,53.57950804,129.9950088,133.1810318,126.7273436,21.70722045,46.19327179,45.161692,44.39713431,50.5272173,102.1897523,102.5787224,96.00265904,31.25296544,77.0236635,79.90229909,74.50692055,13.04087475,26.20207722,23.67431109,24.02740817,31.82576427,57.72419193,55.84347948,54.57694878,43.6047649,48.54419492,49.51986938,49.3263936,8.000057538,10.67406737,10.41637817,10.54583798,7.956212918,10.19868158,9.897742678,10.0476025
26,25,41.58193751,105.8939935,115.8259364,106.238909,40.28965308,103.3954691,113.3453816,101.8213325,55.75944254,131.7575015,135.774425,129.1559129,22.60317935,46.9677065,46.40616656,45.22100859,52.58868864,103.5464546,105.3512386,97.9825358,32.53050014,77.96219762,81.40594325,75.89961621,13.57999173,26.63613622,24.42678919,24.52331923,33.12732873,58.67324245,57.57697905,55.83254196,45.37402775,50.20930453,51.43506354,51.19333434,8.330813148,11.03613629,10.80622909,10.92999117,8.285142252,10.56161593,10.27447255,10.40906748
27,26,43.21488658,106.5529479,117.0966926,107.6942026,41.87277109,104.0053212,114.5187663,102.5000607,57.93524229,133.409483,138.2287497,131.4865594,23.49846201,47.70862419,47.6123899,46.02703174,54.64670441,104.8593469,108.0348304,99.93187425,33.80608707,78.84111387,82.82574279,77.23985098,14.11877034,27.05686971,25.16375687,25.01476034,34.42695765,59.60053737,59.27178468,57.074362,47.13955187,51.87108858,53.33900365,53.04801973,8.661363458,11.39363324,11.19280022,11.31039666,8.613866337,10.92076113,10.64852191,10.76712158
28,27,44.84553223,107.1739975,118.2633967,109.0829354,43.45372611,104.580791,115.5924424,103.1522854,60.10691513,134.9608512,140.5514633,133.7232315,24.39306894,48.4191167,48.78153775,46.81669679,56.70127039,106.134331,110.63235,101.8511454,35.0797292,79.66636847,84.166373,78.52960099,14.65721079,27.46583989,25.88553386,25.50191177,35.72465393,60.50899592,60.92876007,58.30255999,48.90134516,53.52955371,55.23175584,54.89069971,8.991708595,11.74673424,11.57611913,11.68712083,8.942385302,11.27622633,11.01990981,11.12186774
29,28,46.47387771,107.7628002,119.3345687,110.4081517,45.03252108,105.1271658,116.5748828,103.781986,62.27446889,136.4206151,142.7496235,135.8697184,25.28700064,49.1019894,49.91474971,47.59126941,58.75239238,107.3764971,113.1465581,103.740813,36.3514295,80.44332103,85.43224845,79.77076792,15.19531329,27.86442416,26.59243326,25.98491514,37.02042044,61.40113185,62.54874963,59.51728536,50.65941551,55.18470654,57.11338584,56.72161549,9.321848686,12.09560835,11.95621321,12.06022858,9.270699275,11.62811746,11.3886552,11.47340519
30,29,48.09992626,108.3241658,120.3180311,111.6727565,46.60915895,105.6489165,117.4738403,104.3924593,64.43791139,137.796975,144.8299092,137.9296564,26.18025763,49.75978771,51.01313035,48.35182501,60.80007614,108.5902346,115.5801266,105.6013338,37.62119092,81.17679438,86.62753756,80.96518183,15.73307805,28.25383691,27.28476175,26.46388328,38.31426004,62.27910972,64.13257894,60.71868588,52.41377079,56.83655371,58.98395902,58.54099984,9.651783859,12.44041796,12.33310956,12.42978342,9.598808383,11.97653727,11.75477688,11.82182958
